('zz-YIL161W', '+')
('RPS1A', '-')
('RIB3', '-')
('GLE1', '+')
('RIB5', '-')
('TOR2', '-')
('ALR2', '-')
('RPL5', '+')
('VMA6', '-')
('RPN7', '+')
('ATG8', '-')
('DBP8', '+')
('APC1', '+')
('VPS75', '+')
('SEC2', '-')
('HIS3', '+')
('SNU66', '-')
('SHE9', '+')
('LDS1', '-')
('SIR1', '+')
('DUR3', '-')
('ECM25', '+')
('PIM1', '-')
('BNA5', '-')
('UTP18', '-')
('SLM1', '-')
('IBA57', '+')
('BUD20', '-')
('RTF1', '+')
('SHE3', '-')
('SSK22', '-')
('MRPS9', '+')
('RRT14', '-')
